C,SF,FA,SL,MK,Fine_Agg,Coarse_Agg,W,SP,L,D,Fiber_Volume_pct,CS,W_C_ratio,Total_Binder,Total_Fiber,SF_C_ratio,W_Binder_ratio,Fiber_Aspect_Ratio
450.0,0.0,0.0,0.0,0.0,751.5,1012.5,162.0,0.0,0.0,0.0,0.0,47.77,0.35999999920000003,450.0,0.0,0.0,0.35999999920000003,0.0
450.0,0.0,0.0,0.0,0.0,751.5,1012.5,162.0,0.0,35.0,0.75,0.3,51.22,0.35999999920000003,450.0,0.3,0.0,0.35999999920000003,46.66660444452741
450.0,0.0,0.0,0.0,0.0,751.5,1012.5,162.0,0.0,35.0,0.75,0.6,54.22,0.35999999920000003,450.0,0.6,0.0,0.35999999920000003,46.66660444452741
450.0,0.0,0.0,0.0,0.0,751.5,1012.5,162.0,0.0,35.0,0.75,0.9000000000000001,57.11,0.35999999920000003,450.0,0.9000000000000001,0.0,0.35999999920000003,46.66660444452741
324.0,0.0,0.0,0.0,0.0,785.0,1093.0,178.0,0.0,0.0,0.0,0.0,36.5,0.5493827143537571,324.0,0.0,0.0,0.5493827143537571,0.0
194.8,32.0,0.0,97.2,0.0,785.0,1093.0,178.0,0.13,0.0,0.0,0.0,42.95,0.9137576955145909,324.0,0.0,0.16427104638464554,0.5493827143537571,0.0
194.8,32.0,0.0,97.2,0.0,785.0,1093.0,178.0,0.79,30.0,0.5,0.5,43.94,0.9137576955145909,324.0,0.5,0.16427104638464554,0.5493827143537571,59.99988000024
194.8,32.0,0.0,97.2,0.0,785.0,1093.0,178.0,1.19,30.0,0.5,1.0,44.75,0.9137576955145909,324.0,1.0,0.16427104638464554,0.5493827143537571,59.99988000024
194.8,32.0,0.0,97.2,0.0,785.0,1093.0,178.0,1.63,30.0,0.5,1.5006369426751591,45.36,0.9137576955145909,324.0,1.5006369426751591,0.16427104638464554,0.5493827143537571,59.99988000024
195.8,32.0,0.0,97.2,0.0,785.0,1093.0,178.0,1.78,30.0,0.5,2.0,45.83,0.9090909044479525,325.0,2.0,0.16343207270974425,0.5476923060071006,59.99988000024
475.0,0.0,0.0,0.0,0.0,788.5,888.25,213.75,0.0,60.0,0.75,0.2547770700636942,41.7,0.4499999990526316,475.0,0.2547770700636942,0.0,0.4499999990526316,79.99989333347555
475.0,0.0,0.0,0.0,0.0,788.5,888.25,213.75,0.0,60.0,0.75,0.5095541401273885,48.7,0.4499999990526316,475.0,0.5095541401273885,0.0,0.4499999990526316,79.99989333347555
475.0,0.0,0.0,0.0,0.0,788.5,888.25,213.75,0.0,60.0,0.75,0.7643312101910829,54.9,0.4499999990526316,475.0,0.7643312101910829,0.0,0.4499999990526316,79.99989333347555
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,50.0,1.0499790004199916,0.4968152866242038,48.7,0.3499999993881119,572.0,0.4968152866242038,0.0,0.3499999993881119,47.6199546467552
572.0,0.0,0.0,0.0,0.0,795.0799999999999,623.48,200.2,1.43,50.0,1.0499790004199916,0.9936305732484076,49.0,0.3499999993881119,572.0,0.9936305732484076,0.0,0.3499999993881119,47.6199546467552
